Eastern Date Hour,Eastern Date Hour,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
11-03-2023 06:00,EST,CAPITL,61757,39.02,1.45,-14.23,1
11-03-2023 07:00,EST,CAPITL,61757,41.7,1.45,-16.41,1
11-03-2023 08:00,EST,CAPITL,61757,41.58,1.55,-15.03,1
11-03-2023 09:00,EST,CAPITL,61757,43.61,1.54,-17.23,1
11-03-2023 10:00,EST,CAPITL,61757,41.76,1.64,-14.83,1
11-03-2023 11:00,EST,CAPITL,61757,41.32,1.54,-14.99,1
11-03-2023 12:00,EST,CAPITL,61757,37.05,1.55,-10.98,1
11-03-2023 13:00,EST,CAPITL,61757,35.98,1.46,-10.67,1
11-03-2023 14:00,EST,CAPITL,61757,36.03,1.42,-11.76,1
11-03-2023 15:00,EST,CAPITL,61757,37.23,1.4,-12.95,1
11-03-2023 16:00,EST,CAPITL,61757,41.43,1.27,-18.98,1
11-03-2023 17:00,EST,CAPITL,61757,55.49,1.61,-28.34,1
11-03-2023 18:00,EST,CAPITL,61757,64.09,1.61,-37.75,1
11-03-2023 19:00,EST,CAPITL,61757,58.22,1.71,-31.33,1
11-03-2023 20:00,EST,CAPITL,61757,50.42,1.7,-22.94,1
11-03-2023 21:00,EST,CAPITL,61757,41.74,1.71,-14.88,1
11-03-2023 22:00,EST,CAPITL,61757,36.64,1.78,-9.03,1
11-03-2023 23:00,EST,CAPITL,61757,35.67,1.66,-8.78,1
12-03-2023 00:00,EST,CAPITL,61757,31.88,1.53,-5.7,1
12-03-2023 01:00,EST,CAPITL,61757,29.34,1.54,-3.04,1
12-03-2023 03:00,EDT,CAPITL,61757,27.51,1.52,-1.1,1
12-03-2023 04:00,EDT,CAPITL,61757,28.33,1.54,-1.92,1
12-03-2023 05:00,EDT,CAPITL,61757,29.15,1.6,-2.65,1
12-03-2023 06:00,EDT,CAPITL,61757,33.83,1.63,-7.07,1
12-03-2023 07:00,EDT,CAPITL,61757,35.23,1.66,-8.39,1
12-03-2023 08:00,EDT,CAPITL,61757,36.64,1.73,-9.47,1
12-03-2023 09:00,EDT,CAPITL,61757,35.59,1.69,-8.75,1
12-03-2023 10:00,EDT,CAPITL,61757,30.26,1.66,-3.44,1
12-03-2023 11:00,EDT,CAPITL,61757,28.96,1.59,-2.61,1
12-03-2023 12:00,EDT,CAPITL,61757,28.43,1.52,-2.86,1
12-03-2023 13:00,EDT,CAPITL,61757,27.37,1.47,-2.19,1
12-03-2023 14:00,EDT,CAPITL,61757,27.38,1.44,-2.66,1
12-03-2023 15:00,EDT,CAPITL,61757,28.62,1.41,-4.43,1
12-03-2023 16:00,EDT,CAPITL,61757,31,1.5,-5.77,1
12-03-2023 17:00,EDT,CAPITL,61757,42.71,1.45,-18.24,1
12-03-2023 18:00,EDT,CAPITL,61757,57.01,1.77,-29.61,1
12-03-2023 19:00,EDT,CAPITL,61757,60.93,1.81,-33.97,1
12-03-2023 20:00,EDT,CAPITL,61757,47.12,1.79,-20.18,1
12-03-2023 21:00,EDT,CAPITL,61757,45.24,1.74,-18.58,1
12-03-2023 22:00,EDT,CAPITL,61757,34.86,1.71,-8.02,1
12-03-2023 23:00,EDT,CAPITL,61757,31.38,1.61,-4.68,1
13-03-2023 00:00,EDT,CAPITL,61757,28.53,1.43,-2.44,1
